id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16626207,2018-09-16,254546,33.2825131241,-111.7708630862,Maricopa,Arizona,United States,Erythemis collocata,85408
16626291,2018-09-14,254546,33.3626769457,-111.9879849053,Maricopa,Arizona,United States,Brachymesia furcata,95982
16626825,2018-09-16,872429,31.5374280387,-110.226561419,Cochise,Arizona,United States,Anax junius,67731
16629393,2018-09-16,52828,34.1831383333,-109.9809716667,Navajo,Arizona,United States,Danaus plexippus,48662
16629394,2018-09-16,52828,34.1836566667,-109.9809416667,Navajo,Arizona,United States,Polistes aurifer,153887
16629431,2018-09-16,52828,34.13752,-109.9716466667,Navajo,Arizona,United States,Danaus plexippus,48662
16630169,2018-09-17,758510,32.23257,-110.9746166667,Pima,Arizona,United States,Hemeroplanis incusalis,346571
16632839,2018-09-16,275891,32.3098875625,-110.8225130451,Pima,Arizona,United States,Chelinidea vittiger,216651
16632841,2018-09-16,275891,32.3098875625,-110.8225130451,Pima,Arizona,United States,Stagmomantis limbata,121308
16632842,2018-09-16,275891,32.3098875625,-110.8225130451,Pima,Arizona,United States,Metopoloba pruinosa,558755
16632847,2018-09-16,275891,32.3098875625,-110.8225130451,Pima,Arizona,United States,Erinnyis ello,143586
16635975,2018-09-16,275891,32.3099329009,-110.8223091968,Pima,Arizona,United States,Spanagonicus albofasciatus,462085
16636404,2018-09-17,680981,33.4456583333,-111.9517583333,Maricopa,Arizona,United States,Cotinis mutabilis,57665
16638599,2018-09-14,1173365,33.5756568909,-111.5157699585,Maricopa,Arizona,United States,Asphondylia auripila,343241
16639629,2018-09-17,758510,32.23267,-110.974695,Pima,Arizona,United States,Insara elegans,293640
16640539,2018-04-15,1626,31.4604554387,-111.2226240607,Santa Cruz,Arizona,United States,Adelpha eulalia,67559
16641227,2018-04-06,1626,32.35215523,-110.2451754096,Cochise,Arizona,United States,Chlosyne acastus,68278
16641321,2018-09-15,1209427,31.7129917145,-110.8748245239,Santa Cruz,Arizona,United States,Danaus gilippus,51743
16641418,2018-09-15,1209427,31.7129898071,-110.8748245239,Santa Cruz,Arizona,United States,Libytheana carinenta,58561
16641602,2018-04-09,1626,32.3370734289,-110.238306519,Cochise,Arizona,United States,Battus philenor,49972
16641929,2018-09-15,1209427,31.7123260498,-110.8720626831,Santa Cruz,Arizona,United States,Pyrisitia proterpia,144187
